id,lv,parent,id_key,name
1129010900,2,11290,11290109,동소문동6가
1129011000,2,11290,11290110,동소문동7가
1129011100,2,11290,11290111,삼선동1가
1129011200,2,11290,11290112,삼선동2가
1129011300,2,11290,11290113,삼선동3가
1129011400,2,11290,11290114,삼선동4가
1129011500,2,11290,11290115,삼선동5가
1129011600,2,11290,11290116,동선동1가
1129011700,2,11290,11290117,동선동2가
1129011800,2,11290,11290118,동선동3가
1129011900,2,11290,11290119,동선동4가
1129012000,2,11290,11290120,동선동5가
1129012100,2,11290,11290121,안암동1가
1129012200,2,11290,11290122,안암동2가
1129012300,2,11290,11290123,안암동3가
1129012400,2,11290,11290124,안암동4가
1129012500,2,11290,11290125,안암동5가
1129012600,2,11290,11290126,보문동4가
1129012700,2,11290,11290127,보문동5가
1129012800,2,11290,11290128,보문동6가
1129012900,2,11290,11290129,보문동7가
1129013000,2,11290,11290130,보문동1가
1129013100,2,11290,11290131,보문동2가
1129013200,2,11290,11290132,보문동3가
1129013300,2,11290,11290133,정릉동
1129013400,2,11290,11290134,길음동
1129013500,2,11290,11290135,종암동
1129013600,2,11290,11290136,하월곡동
1129013700,2,11290,11290137,상월곡동
1129013800,2,11290,11290138,장위동
1129013900,2,11290,11290139,석관동
1130500000,1,11,11305,강북구
1130510100,2,11305,11305101,미아동
1130510200,2,11305,11305102,번동
1130510300,2,11305,11305103,수유동
1130510400,2,11305,11305104,우이동
1132000000,1,11,11320,도봉구
1132010500,2,11320,11320105,쌍문동
1132010600,2,11320,11320106,방학동
1132010700,2,11320,11320107,창동
1132010800,2,11320,11320108,도봉동
1135000000,1,11,11350,노원구
1135010200,2,11350,11350102,월계동
1135010300,2,11350,11350103,공릉동
1135010400,2,11350,11350104,하계동
1135010500,2,11350,11350105,상계동
1135010600,2,11350,11350106,중계동
1138000000,1,11,11380,은평구
1138010100,2,11380,11380101,수색동
1138010200,2,11380,11380102,녹번동
1138010300,2,11380,11380103,불광동
1138010400,2,11380,11380104,갈현동
1138010500,2,11380,11380105,구산동
1138010600,2,11380,11380106,대조동
1138010700,2,11380,11380107,응암동
1138010800,2,11380,11380108,역촌동
1138010900,2,11380,11380109,신사동
1138011000,2,11380,11380110,증산동
1138011400,2,11380,11380114,진관동
1141000000,1,11,11410,서대문구
1141010100,2,11410,11410101,충정로2가
1141010200,2,11410,11410102,충정로3가
1141010300,2,11410,11410103,합동
1141010400,2,11410,11410104,미근동
1141010500,2,11410,11410105,냉천동
1141010600,2,11410,11410106,천연동
1141010700,2,11410,11410107,옥천동
1141010800,2,11410,11410108,영천동
1141010900,2,11410,11410109,현저동
1141011000,2,11410,11410110,북아현동
1141011100,2,11410,11410111,홍제동
1141011200,2,11410,11410112,대현동
1141011300,2,11410,11410113,대신동
1141011400,2,11410,11410114,신촌동
1141011500,2,11410,11410115,봉원동
1141011600,2,11410,11410116,창천동
1141011700,2,11410,11410117,연희동
1141011800,2,11410,11410118,홍은동
1141011900,2,11410,11410119,북가좌동
1141012000,2,11410,11410120,남가좌동
1144000000,1,11,11440,마포구
1144010100,2,11440,11440101,아현동
1144010200,2,11440,11440102,공덕동
1144010300,2,11440,11440103,신공덕동
1144010400,2,11440,11440104,도화동
1144010500,2,11440,11440105,용강동
1144010600,2,11440,11440106,토정동
1144010700,2,11440,11440107,마포동
1144010800,2,11440,11440108,대흥동
1144010900,2,11440,11440109,염리동
1144011000,2,11440,11440110,노고산동
1144011100,2,11440,11440111,신수동
1144011200,2,11440,11440112,현석동
1144011300,2,11440,11440113,구수동
1144011400,2,11440,11440114,창전동
1144011500,2,11440,11440115,상수동
1144011600,2,11440,11440116,하중동
1144011700,2,11440,11440117,신정동
1144011800,2,11440,11440118,당인동
1144012000,2,11440,11440120,서교동
1144012100,2,11440,11440121,동교동
1144012200,2,11440,11440122,합정동
1144012300,2,11440,11440123,망원동
1144012400,2,11440,11440124,연남동
1144012500,2,11440,11440125,성산동
1144012600,2,11440,11440126,중동
1144012700,2,11440,11440127,상암동
1147000000,1,11,11470,양천구
1147010100,2,11470,11470101,신정동
1147010200,2,11470,11470102,목동
1147010300,2,11470,11470103,신월동
1150000000,1,11,11500,강서구
1150010100,2,11500,11500101,염창동
1150010200,2,11500,11500102,등촌동
1150010300,2,11500,11500103,화곡동
1150010400,2,11500,11500104,가양동
1150010500,2,11500,11500105,마곡동
1150010600,2,11500,11500106,내발산동
1150010700,2,11500,11500107,외발산동
1150010800,2,11500,11500108,공항동
1150010900,2,11500,11500109,방화동
1150011000,2,11500,11500110,개화동
1150011100,2,11500,11500111,과해동
1150011200,2,11500,11500112,오곡동
1150011300,2,11500,11500113,오쇠동
1153000000,1,11,11530,구로구
1153010100,2,11530,11530101,신도림동
1153010200,2,11530,11530102,구로동
1153010300,2,11530,11530103,가리봉동
1153010600,2,11530,11530106,고척동
1153010700,2,11530,11530107,개봉동
1153010800,2,11530,11530108,오류동
1153010900,2,11530,11530109,궁동
1153011000,2,11530,11530110,온수동
1153011100,2,11530,11530111,천왕동
1153011200,2,11530,11530112,항동
1154500000,1,11,11545,금천구
1154510100,2,11545,11545101,가산동
1154510200,2,11545,11545102,독산동
1154510300,2,11545,11545103,시흥동
1156000000,1,11,11560,영등포구
1156010100,2,11560,11560101,영등포동
1156010200,2,11560,11560102,영등포동1가
1156010300,2,11560,11560103,영등포동2가
1156010400,2,11560,11560104,영등포동3가
1156010500,2,11560,11560105,영등포동4가
1156010600,2,11560,11560106,영등포동5가
1156010700,2,11560,11560107,영등포동6가
1156010800,2,11560,11560108,영등포동7가
1156010900,2,11560,11560109,영등포동8가
1156011000,2,11560,11560110,여의도동
1156011100,2,11560,11560111,당산동1가
1156011200,2,11560,11560112,당산동2가
1156011300,2,11560,11560113,당산동3가
1156011400,2,11560,11560114,당산동4가
1156011500,2,11560,11560115,당산동5가
1156011600,2,11560,11560116,당산동6가
1156011700,2,11560,11560117,당산동
1156011800,2,11560,11560118,도림동
1156011900,2,11560,11560119,문래동1가
1156012000,2,11560,11560120,문래동2가
1156012100,2,11560,11560121,문래동3가
1156012200,2,11560,11560122,문래동4가
1156012300,2,11560,11560123,문래동5가
1156012400,2,11560,11560124,문래동6가
1156012500,2,11560,11560125,양평동1가
1156012600,2,11560,11560126,양평동2가
1156012700,2,11560,11560127,양평동3가
1156012800,2,11560,11560128,양평동4가
1156012900,2,11560,11560129,양평동5가
1156013000,2,11560,11560130,양평동6가
1156013100,2,11560,11560131,양화동
1156013200,2,11560,11560132,신길동
1156013300,2,11560,11560133,대림동
1156013400,2,11560,11560134,양평동
1159000000,1,11,11590,동작구
1159010100,2,11590,11590101,노량진동
1159010200,2,11590,11590102,상도동
1159010300,2,11590,11590103,상도1동
1159010400,2,11590,11590104,본동
1159010500,2,11590,11590105,흑석동
1159010600,2,11590,11590106,동작동
1159010700,2,11590,11590107,사당동
1159010800,2,11590,11590108,대방동
1159010900,2,11590,11590109,신대방동
1162000000,1,11,11620,관악구
1162010100,2,11620,11620101,봉천동
1162010200,2,11620,11620102,신림동
1162010300,2,11620,11620103,남현동
1165000000,1,11,11650,서초구
1165010100,2,11650,11650101,방배동
1165010200,2,11650,11650102,양재동
1165010300,2,11650,11650103,우면동
1165010400,2,11650,11650104,원지동
1165010600,2,11650,11650106,잠원동
1165010700,2,11650,11650107,반포동
1165010800,2,11650,11650108,서초동
1165010900,2,11650,11650109,내곡동
1165011000,2,11650,11650110,염곡동
1165011100,2,11650,11650111,신원동
1168000000,1,11,11680,강남구
1168010100,2,11680,11680101,역삼동
1168010300,2,11680,11680103,개포동
1168010400,2,11680,11680104,청담동
1168010500,2,11680,11680105,삼성동
1168010600,2,11680,11680106,대치동
1168010700,2,11680,11680107,신사동
1168010800,2,11680,11680108,논현동
1168011000,2,11680,11680110,압구정동
1168011100,2,11680,11680111,세곡동
1168011200,2,11680,11680112,자곡동
1168011300,2,11680,11680113,율현동
1168011400,2,11680,11680114,일원동
1168011500,2,11680,11680115,수서동
1168011800,2,11680,11680118,도곡동
1171000000,1,11,11710,송파구
1171010100,2,11710,11710101,잠실동
1171010200,2,11710,11710102,신천동
1171010300,2,11710,11710103,풍납동
1171010400,2,11710,11710104,송파동
1171010500,2,11710,11710105,석촌동
1171010600,2,11710,11710106,삼전동
1171010700,2,11710,11710107,가락동
1171010800,2,11710,11710108,문정동
1171010900,2,11710,11710109,장지동
1171011100,2,11710,11710111,방이동
1171011200,2,11710,11710112,오금동
1171011300,2,11710,11710113,거여동
1171011400,2,11710,11710114,마천동
1174000000,1,11,11740,강동구
1174010100,2,11740,11740101,명일동
1174010200,2,11740,11740102,고덕동
1174010300,2,11740,11740103,상일동
1174010500,2,11740,11740105,길동
1174010600,2,11740,11740106,둔촌동
1174010700,2,11740,11740107,암사동
1174010800,2,11740,11740108,성내동
1174010900,2,11740,11740109,천호동
1174011000,2,11740,11740110,강일동
2600000000,0,0,26,부산광역시
2611000000,1,26,26110,중구
2611010100,2,26110,26110101,영주동
2611010200,2,26110,26110102,대창동1가
2611010300,2,26110,26110103,대창동2가
2611010400,2,26110,26110104,중앙동1가
2611010500,2,26110,26110105,중앙동2가
2611010600,2,26110,26110106,중앙동3가
2611010700,2,26110,26110107,중앙동4가
2611010800,2,26110,26110108,중앙동5가
2611010900,2,26110,26110109,중앙동6가
2611011000,2,26110,26110110,중앙동7가
2611011100,2,26110,26110111,동광동1가
2611011200,2,26110,26110112,동광동2가
2611011300,2,26110,26110113,동광동3가
2611011400,2,26110,26110114,동광동4가
2611011500,2,26110,26110115,동광동5가
2611011600,2,26110,26110116,대청동1가
2611011700,2,26110,26110117,대청동2가
2611011800,2,26110,26110118,대청동3가
2611011900,2,26110,26110119,대청동4가
2611012000,2,26110,26110120,보수동1가
2611012100,2,26110,26110121,보수동2가
2611012200,2,26110,26110122,보수동3가
2611012300,2,26110,26110123,부평동1가
2611012400,2,26110,26110124,부평동2가
2611012500,2,26110,26110125,부평동3가
2611012600,2,26110,26110126,부평동4가
2611012700,2,26110,26110127,신창동1가
2611012800,2,26110,26110128,신창동2가
2611012900,2,26110,26110129,신창동3가
2611013000,2,26110,26110130,신창동4가
2611013100,2,26110,26110131,창선동1가
2611013200,2,26110,26110132,창선동2가
2611013300,2,26110,26110133,광복동1가
2611013400,2,26110,26110134,광복동2가
2611013500,2,26110,26110135,광복동3가
2611013600,2,26110,26110136,남포동1가
2611013700,2,26110,26110137,남포동2가
2611013800,2,26110,26110138,남포동3가
2611013900,2,26110,26110139,남포동4가
2611014000,2,26110,26110140,남포동5가
2611014100,2,26110,26110141,남포동6가
2614000000,1,26,26140,서구
2614010100,2,26140,26140101,동대신동1가
2614010200,2,26140,26140102,동대신동2가
2614010300,2,26140,26140103,동대신동3가
2614010400,2,26140,26140104,서대신동1가
2614010500,2,26140,26140105,서대신동2가
2614010600,2,26140,26140106,서대신동3가
2614010700,2,26140,26140107,부용동1가
2614010800,2,26140,26140108,부용동2가
2614010900,2,26140,26140109,부민동1가
2614011000,2,26140,26140110,부민동2가
2614011100,2,26140,26140111,부민동3가
2614011200,2,26140,26140112,토성동1가
2614011300,2,26140,26140113,토성동2가
2614011400,2,26140,26140114,토성동3가
2614011500,2,26140,26140115,아미동1가
2614011600,2,26140,26140116,아미동2가
2614011700,2,26140,26140117,토성동4가
2614011800,2,26140,26140118,토성동5가
2614011900,2,26140,26140119,초장동
2614012000,2,26140,26140120,충무동1가
2614012100,2,26140,26140121,충무동2가
2614012200,2,26140,26140122,충무동3가
2614012300,2,26140,26140123,남부민동
2614012400,2,26140,26140124,암남동
2617000000,1,26,26170,동구
2617010100,2,26170,26170101,초량동
2617010200,2,26170,26170102,수정동
2617010300,2,26170,26170103,좌천동
2617010400,2,26170,26170104,범일동
2620000000,1,26,26200,영도구
2620010100,2,26200,26200101,대교동1가
2620010200,2,26200,26200102,대교동2가
2620010300,2,26200,26200103,대평동1가
2620010400,2,26200,26200104,대평동2가
2620010500,2,26200,26200105,남항동1가
2620010600,2,26200,26200106,남항동2가
2620010700,2,26200,26200107,남항동3가
2620010800,2,26200,26200108,영선동1가
2620010900,2,26200,26200109,영선동2가
2620011000,2,26200,26200110,영선동3가
2620011100,2,26200,26200111,영선동4가
2620011200,2,26200,26200112,신선동1가
2620011300,2,26200,26200113,신선동2가
2620011400,2,26200,26200114,신선동3가
2620011500,2,26200,26200115,봉래동1가
2620011600,2,26200,26200116,봉래동2가
2620011700,2,26200,26200117,봉래동3가
2620011800,2,26200,26200118,봉래동4가
2620011900,2,26200,26200119,봉래동5가
2620012000,2,26200,26200120,청학동
2620012100,2,26200,26200121,동삼동
2623000000,1,26,26230,부산진구
2623010100,2,26230,26230101,양정동
2623010200,2,26230,26230102,전포동
2623010300,2,26230,26230103,부전동
2623010400,2,26230,26230104,범천동
2623010500,2,26230,26230105,범전동
2623010600,2,26230,26230106,연지동
2623010700,2,26230,26230107,초읍동
2623010800,2,26230,26230108,부암동
2623010900,2,26230,26230109,당감동
2623011000,2,26230,26230110,가야동
2623011100,2,26230,26230111,개금동
2626000000,1,26,26260,동래구
2626010100,2,26260,26260101,명장동
2626010200,2,26260,26260102,안락동
2626010300,2,26260,26260103,칠산동
2626010400,2,26260,26260104,낙민동
2626010500,2,26260,26260105,복천동
2626010600,2,26260,26260106,수안동
2626010700,2,26260,26260107,명륜동
2626010800,2,26260,26260108,온천동
2626010900,2,26260,26260109,사직동
2629000000,1,26,26290,남구
2629010600,2,26290,26290106,대연동
2629010700,2,26290,26290107,용호동
2629010800,2,26290,26290108,용당동
2629010900,2,26290,26290109,문현동
2629011000,2,26290,26290110,우암동
2629011100,2,26290,26290111,감만동
2632000000,1,26,26320,북구
2632010100,2,26320,26320101,금곡동
2632010200,2,26320,26320102,화명동
2632010300,2,26320,26320103,만덕동
2632010400,2,26320,26320104,덕천동
2632010500,2,26320,26320105,구포동
